,track_name,track_id,track_popularity,artist_name,artist_id,track_image_link,release_date
0,Who,7tI8dRuH2Yc6RuoTjxo4dU,93,Jimin,1oSPZhvZMIrWW5I41kPkkY,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,2024-07-19
1,Warmth,3vnaEaDxMKdBhqA1t0uAwl,62,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b273744791c0e707946a832baa13,2024-05-06
2,Home,2PlsVMcOn6ujc2UEYs2Yat,62,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b273744791c0e707946a832baa13,2024-05-06
3,Standing Next to You,2KslE17cAJNHTsI2MI0jb2,89,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,2023-11-03
4,Do or Die,21ewxM3YvcdTj7cC0XwznO,60,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b273831b4a8eb3bd16788dca633a,2023-10-09
5,Who,32lSgbCqRcIOyUSnfuUZEQ,88,Jimin,1oSPZhvZMIrWW5I41kPkkY,https://i.scdn.co/image/ab67616d0000b27382601539d4a27061ad90eacb,2024-07-23
6,Who,5wPnPIZS8wr4lPNLz4qvHK,88,Jimin,1oSPZhvZMIrWW5I41kPkkY,https://i.scdn.co/image/ab67616d0000b273f150d9f2e5e8148e5032fd7d,2024-07-23
7,FRI(END)S,0PBTlQ84CBJF0tBnKGmQa6,87,V,3JsHnjpbhX4SnySpvpa9DK,https://i.scdn.co/image/ab67616d0000b273377ee031d0a3da40db19ccf4,2024-03-15
8,Who,1yqdD2ScjkqvaNBUzPQ4vR,88,Jimin,1oSPZhvZMIrWW5I41kPkkY,https://i.scdn.co/image/ab67616d0000b2737f35adfbec3bb2bc8256802b,2024-07-23
9,Grain of Sand,4WUpMUjdoi47LY7gBQBXe3,58,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b273111a6e9b713b646443c5c222,2023-06-05
10,Standing Next to You,2VqMBiaxblhhBHyB9X4ESl,84,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,https://i.scdn.co/image/ab67616d0000b2733ee8cd8508e02c40ffda723b,2023-11-06
11,London Boy,6auT8cRBu3BgPRBrdVBY15,58,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b2732d2009b6cad53ddacad11334,2022-11-15
12,Be Mine,3LWVXp636uLT356Rj08Jaz,80,Jimin,1oSPZhvZMIrWW5I41kPkkY,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,2024-07-19
13,Perfect Night,74X2u8JMVooG2QbjRxXwR8,79,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,https://i.scdn.co/image/ab67616d0000b2735e352f6eccf8cb96d0b247cc,2023-10-27
14,Love Me Again,2N0SPREDYqILVEFSsWF5N5,86,V,3JsHnjpbhX4SnySpvpa9DK,https://i.scdn.co/image/ab67616d0000b2732f1a5b69c2bd76474bca8035,2023-08-11
15,Pump Up The Volume!,34DtDWmIUacoop6Md298vE,63,PLAVE,0k2zyzGq6HX383VlMBOvRG,https://i.scdn.co/image/ab67616d0000b2730521b4efcb4432ca54cf2baa,2024-08-20
16,Love Me Again,0SftJDguUa1F5SsQwwkLw4,85,V,3JsHnjpbhX4SnySpvpa9DK,https://i.scdn.co/image/ab67616d0000b2738e504c5aedaae49a73ed4963,2023-09-08
17,CRAZY,3AoEQRuFf8zVXWqSLo2UOi,81,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,https://i.scdn.co/image/ab67616d0000b273485623bc41b6760fc1bca2f4,2024-08-30
