,track_name,track_id,track_popularity,artist_name,track_image_link,release_date
0,I've Got A Crush On You,SSd2ZSBHb3QgQSBDcnVzaCBPbiBZb3VfRWxsYSBGaXR6Z2VyYWxk,57,Ella Fitzgerald,https://i.scdn.co/image/ab67616d0000b273f3207aaf4dc5cad05fd14583,1950-09-11
1,Someone To Watch Over Me,U29tZW9uZSBUbyBXYXRjaCBPdmVyIE1lX0VsbGEgRml0emdlcmFsZA==,51,Ella Fitzgerald,https://i.scdn.co/image/ab67616d0000b273f3207aaf4dc5cad05fd14583,1950-09-11
2,Lost Highway,TG9zdCBIaWdod2F5X0hhbmsgV2lsbGlhbXM=,48,Hank Williams,https://i.scdn.co/image/ab67616d0000b273cf2da0cdda3bedfaf3a6fa38,1951-11-09
3,I Saw The Light,SSBTYXcgVGhlIExpZ2h0X0hhbmsgV2lsbGlhbXPsmbggMeuqhQ==,47,Hank Williams,https://i.scdn.co/image/ab67616d0000b273cf2da0cdda3bedfaf3a6fa38,1951-11-09
4,'Round Midnight,J1JvdW5kIE1pZG5pZ2h0X1RoZWxvbmlvdXMgTW9uaw==,51,Thelonious Monk,https://i.scdn.co/image/ab67616d0000b273c4c99d6b212f741ba28c5a61,1951-01-01
5,Sixty Minute Man,U2l4dHkgTWludXRlIE1hbl9UaGUgRG9taW5vZXPsmbggMeuqhQ==,43,The Dominoes,https://i.scdn.co/image/ab67616d0000b273d66465d8b4f0f83dce712964,1951-02-25
6,Poinciana,UG9pbmNpYW5hX0FobWFkIEphbWFs,42,Ahmad Jamal,https://i.scdn.co/image/ab67616d0000b273176d16659efad0c1d1598aac,1951-01-01
7,De Temps en Temps,RGUgVGVtcHMgZW4gVGVtcHNfSm9zw6lwaGluZSBCYWtlcg==,49,Joséphine Baker,https://i.scdn.co/image/ab67616d0000b273c20a63cb08d8a87791f0b978,1951-05-26
8,If You've Got the Money I've Got the Time,SWYgWW91J3ZlIEdvdCB0aGUgTW9uZXkgSSd2ZSBHb3QgdGhlIFRpbWVfTGVmdHkgRnJpenplbGw=,41,Lefty Frizzell,https://i.scdn.co/image/ab67616d0000b273b63dc75e1c598cbaebdace2d,1950-01-01
9,Heather,SGVhdGhlcl94dGVyMA==,40,xter0,https://i.scdn.co/image/ab67616d0000b273400479eb64540da260c2b1f8,1950-04-17
10,After I Say I'm Sorry?,QWZ0ZXIgSSBTYXkgSSdtIFNvcnJ5P19FZGRpZSBGaXNoZXI=,40,Eddie Fisher,https://i.scdn.co/image/ab67616d0000b273c8ba4ed1262131e121b08eaa,1951-01-01
11,El Jinete,RWwgSmluZXRlX0pvc8OpIEFsZnJlZG8gSmltZW5leg==,33,José Alfredo Jimenez,https://i.scdn.co/image/ab67616d0000b2731f73dbeafd8e9ef0f29a7d50,1951-01-01
12,Luna Mezzo Mare,THVuYSBNZXp6byBNYXJlX0RlYW4gTWFydGlu,40,Dean Martin,https://i.scdn.co/image/ab67616d0000b2731888bb79ceb16b4db9210b8f,1951-01-01
13,Paloma Querida,UGFsb21hIFF1ZXJpZGFfSm9zw6kgQWxmcmVkbyBKaW1lbmV6,33,José Alfredo Jimenez,https://i.scdn.co/image/ab67616d0000b2731f73dbeafd8e9ef0f29a7d50,1951-01-01
14,Night on Bald Mountain,TmlnaHQgb24gQmFsZCBNb3VudGFpbl9Nb2Rlc3QgTXVzc29yZ3NreeyZuCAy66qF,33,Modest Mussorgsky,https://i.scdn.co/image/ab67616d0000b273963c3eb73ad1db19d3cc7867,1950-01-01
15,Mambo No 5,TWFtYm8gTm8gNV9Qw6lyZXogUHJhZG8=,42,Pérez Prado,https://i.scdn.co/image/ab67616d0000b2739f58890e82b4032dffe07e4b,1950-11-26
16,El Ladrón,RWwgTGFkcsOzbl9MYSBTb25vcmEgU2FudGFuZXJh,44,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,1950-01-01
17,My Foolish Heart,TXkgRm9vbGlzaCBIZWFydF9HZW5lIEFtbW9ucw==,38,Gene Ammons,https://i.scdn.co/image/ab67616d0000b27323c7698d08791328d5aab70f,1950-01-01
18,Soon,U29vbl9FbGxhIEZpdHpnZXJhbGQ=,39,Ella Fitzgerald,https://i.scdn.co/image/ab67616d0000b273f3207aaf4dc5cad05fd14583,1950-09-11
19,The Bigger The Figure (with Keely Smith) - Single Version,VGhlIEJpZ2dlciBUaGUgRmlndXJlICh3aXRoIEtlZWx5IFNtaXRoKSAtIFNpbmdsZSBWZXJzaW9uX0xvdWlzIFByaW1h7Jm4IDHrqoU=,34,Louis Prima,https://i.scdn.co/image/ab67616d0000b273161d8b74c7d26a10ea51fd96,1951-01-01
20,El Nido,RWwgTmlkb19MYSBTb25vcmEgU2FudGFuZXJh,31,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b27366ac8dd456ffe26126dfc4f1,1950-01-01
21,Amor de Cabaret,QW1vciBkZSBDYWJhcmV0X0xhIFNvbm9yYSBTYW50YW5lcmE=,45,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,1950-01-01
22,I'll Remember April,SSdsbCBSZW1lbWJlciBBcHJpbF9HZW9yZ2UgU2hlYXJpbmc=,37,George Shearing,https://i.scdn.co/image/ab67616d0000b273d8b42dbb82ce213f4bff0738,1950-01-01
23,It Had To Be You,SXQgSGFkIFRvIEJlIFlvdV9CZXR0eSBIdXR0b27smbggMeuqhQ==,35,Betty Hutton,https://i.scdn.co/image/ab67616d0000b273410be1056698ccd868d06093,1950-01-01
24,"Ruby, My Dear",UnVieSwgTXkgRGVhcl9UaGVsb25pb3VzIE1vbms=,37,Thelonious Monk,https://i.scdn.co/image/ab67616d0000b273c4c99d6b212f741ba28c5a61,1951-01-01
25,El Mudo,RWwgTXVkb19MYSBTb25vcmEgU2FudGFuZXJh,46,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,1950-01-01
26,Ahmad's Blues,QWhtYWQncyBCbHVlc19BaG1hZCBKYW1hbA==,38,Ahmad Jamal,https://i.scdn.co/image/ab67616d0000b273176d16659efad0c1d1598aac,1951-01-01
27,"Doctor, Lawyer, Indian Chief",RG9jdG9yLCBMYXd5ZXIsIEluZGlhbiBDaGllZl9CZXR0eSBIdXR0b24=,33,Betty Hutton,https://i.scdn.co/image/ab67616d0000b273410be1056698ccd868d06093,1950-01-01
